dataset,method,seed,beta,selected_raw,final_m,anchor_m,D_anchor,T_D,val_mse,test_mse,quality_met,original_seconds,added_anchor_seconds,accounted_seconds,state,id_fallback,budget_exhausted,compact,calibration_seconds,final_constraint_ma
dSprites,B6b_fondue_var_keepmixed_false,777,1.0,3,3,64,0.0012045322060585022,0.0013249854266643524,0.0076669021844863895,0.0077173653443654375,False,109.5195574760437,237.41397619247437,346.93353366851807,SUCCESS,False,False,True,0.0,
dSprites,B6b_fondue_var_keepmixed_false,2024,1.0,0,,64,0.00116694313287735,0.001283637446165085,,,False,1.1011435985565186,238.429931640625,239.53107523918152,DEGENERATE_SELECTION,False,False,False,0.0,
dSprites,B6b_fondue_var_keepmixed_false,31337,1.0,3,3,64,0.0011734385192394257,0.0012907823711633684,0.007659621357917786,0.007692993481953939,False,89.41206312179565,223.92378115653992,313.33584427833557,SUCCESS,False,False,True,0.0,
dSprites,proposed,42,1.0,64,64,64,0.0011661780774593353,0.0012827958852052689,0.0011661780774593353,0.001149588018655777,True,1048.112284898758,0.0,1048.112284898758,ID_UNRELIABLE,True,False,False,0.0,
dSprites,proposed,123,1.0,64,64,64,0.001138049766421318,0.00125185474306345,0.001138049766421318,0.0011252888143062593,True,999.3774707317352,0.0,999.3774707317352,ID_UNRELIABLE,True,False,False,0.0,
dSprites,proposed,777,1.0,64,64,64,0.0012045322060585022,0.0013249854266643524,0.0012045322060585022,0.0011939948399861653,True,1017.7485873699188,0.0,1017.7485873699188,ID_UNRELIABLE,True,False,False,0.0,
dSprites,proposed,2024,1.0,64,64,64,0.00116694313287735,0.001283637446165085,0.00116694313287735,0.001154283086458842,True,945.3679406642914,0.0,945.3679406642914,ID_UNRELIABLE,True,False,False,0.0,
dSprites,proposed,31337,1.0,64,64,64,0.0011734385192394257,0.0012907823711633684,0.0011734385192394257,0.001165797789891561,True,994.933956861496,0.0,994.933956861496,ID_UNRELIABLE,True,False,False,0.0,
dSprites,proposed_minus_AU,42,1.0,64,64,64,0.0011661780774593353,0.0012827958852052689,0.0011661780774593353,0.001149588018655777,True,1048.112284898758,0.0,1048.112284898758,ID_UNRELIABLE,True,False,False,0.0,
dSprites,proposed_minus_AU,123,1.0,64,64,64,0.001138049766421318,0.00125185474306345,0.001138049766421318,0.0011252888143062593,True,999.3774707317352,0.0,999.3774707317352,ID_UNRELIABLE,True,False,False,0.0,
dSprites,proposed_minus_AU,777,1.0,64,64,64,0.0012045322060585022,0.0013249854266643524,0.0012045322060585022,0.0011939948399861653,True,1017.7485873699188,0.0,1017.7485873699188,ID_UNRELIABLE,True,False,False,0.0,
dSprites,proposed_minus_AU,2024,1.0,64,64,64,0.00116694313287735,0.001283637446165085,0.00116694313287735,0.001154283086458842,True,945.3679406642914,0.0,945.3679406642914,ID_UNRELIABLE,True,False,False,0.0,
dSprites,proposed_minus_AU,31337,1.0,64,64,64,0.0011734385192394257,0.0012907823711633684,0.0011734385192394257,0.001165797789891561,True,994.933956861496,0.0,994.933956861496,ID_UNRELIABLE,True,False,False,0.0,
dSprites,B4_plus_Q,42,1.0,64,64,64,0.0011661780774593353,0.0012827958852052689,0.0011661780774593353,0.001149588018655777,True,750.9688410758972,0.0,750.9688410758972,NO_COMPACT_ALTERNATIVE_FOUND,False,False,False,0.0,
dSprites,B4_plus_Q,123,1.0,64,64,64,0.001138049766421318,0.00125185474306345,0.001138049766421318,0.0011252888143062593,True,702.2340269088745,0.0,702.2340269088745,NO_COMPACT_ALTERNATIVE_FOUND,False,False,False,0.0,
dSprites,B4_plus_Q,777,1.0,64,64,64,0.0012045322060585022,0.0013249854266643524,0.0012045322060585022,0.0011939948399861653,True,720.6051435470581,0.0,720.6051435470581,NO_COMPACT_ALTERNATIVE_FOUND,False,False,False,0.0,
dSprites,B4_plus_Q,2024,1.0,64,64,64,0.00116694313287735,0.001283637446165085,0.00116694313287735,0.001154283086458842,True,648.2244968414307,0.0,648.2244968414307,NO_COMPACT_ALTERNATIVE_FOUND,False,False,False,0.0,
dSprites,B4_plus_Q,31337,1.0,64,64,64,0.0011734385192394257,0.0012907823711633684,0.0011734385192394257,0.001165797789891561,True,697.7905130386353,0.0,697.7905130386353,NO_COMPACT_ALTERNATIVE_FOUND,False,False,False,0.0,
dSprites,B6a_plus_Q,42,1.0,24,24,64,0.0011661780774593353,0.0012827958852052689,0.0012682644426822661,0.0012576948901017507,True,1852.0926568508148,0.0,1852.0926568508148,SUCCESS,False,False,True,0.0,
dSprites,B6a_plus_Q,123,1.0,20,20,64,0.001138049766421318,0.00125185474306345,0.001183832734823227,0.0011632334192593892,True,1770.2110948562622,0.0,1770.2110948562622,SUCCESS,False,False,True,0.0,
dSprites,B6a_plus_Q,777,1.0,16,16,64,0.0012045322060585022,0.0013249854266643524,0.0013037842810153962,0.0012872694929440816,True,1397.4166188240051,0.0,1397.4166188240051,SUCCESS,False,False,True,0.0,
